iter	Passed	Remaining
662	13776	7002
663	13792	6979
664	13807	6955
665	13822	6932
666	13837	6908
667	13857	6887
668	13876	6865
669	13892	6842
670	13910	6820
671	13926	6797
672	13944	6775
673	13965	6754
674	13982	6732
675	14001	6710
676	14016	6687
677	14031	6664
678	14047	6640
679	14062	6617
680	14077	6594
681	14093	6571
682	14109	6548
683	14123	6525
684	14138	6501
685	14153	6478
686	14169	6455
687	14183	6431
688	14198	6408
689	14215	6386
690	14230	6363
691	14246	6340
692	14260	6317
693	14273	6293
694	14288	6270
695	14302	6247
696	14316	6223
697	14330	6200
698	14345	6177
699	14363	6155
700	14379	6133
701	14395	6110
702	14410	6087
703	14426	6065
704	14443	6043
705	14457	6020
706	14472	5997
707	14489	5975
708	14505	5953
709	14521	5931
710	14537	5908
711	14553	5886
712	14569	5864
713	14584	5841
714	14599	5819
715	14614	5796
716	14629	5774
717	14645	5752
718	14663	5730
719	14682	5709
720	14700	5688
721	14716	5666
722	14731	5643
723	14747	5621
724	14762	5599
725	14777	5577
726	14792	5554
727	14808	5532
728	14823	5510
729	14840	5488
730	14860	5468
731	14875	5446
732	14894	5425
733	14910	5403
734	14926	5381
735	14945	5360
736	14964	5340
737	14985	5319
738	15003	5299
739	15022	5278
740	15038	5256
741	15054	5234
742	15068	5212
743	15082	5189
744	15096	5167
745	15110	5144
746	15124	5122
747	15138	5100
748	15153	5078
749	15166	5055
750	15181	5033
751	15195	5011
752	15210	4989
753	15224	4967
754	15242	4946
755	15258	4924
756	15273	4902
757	15289	4881
758	15306	4860
759	15322	4838
760	15337	4816
761	15352	4795
762	15369	4774
763	15389	4753
764	15407	4733
765	15421	4710
766	15435	4688
767	15455	4668
768	15474	4648
769	15489	4626
770	15504	4605
771	15519	4583
772	15534	4561
773	15549	4540
774	15567	4519
775	15582	4498
776	15597	4476
777	15612	4455
778	15629	4434
779	15647	4413
780	15664	4392
781	15679	4371
782	15695	4349
783	15711	4328
784	15726	4307
785	15741	4285
786	15757	4264
787	15773	4243
788	15788	4222
789	15803	4201
790	15818	4179
791	15832	4158
792	15848	4136
793	15863	4115
794	15877	4094
795	15892	4073
796	15907	4051
797	15922	4030
798	15937	4009
799	15953	3988
800	15970	3967
801	15985	3946
802	16000	3925
803	16016	3904
804	16030	3883
805	16045	3862
806	16061	3841
807	16076	3820
